remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:11:17 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TAG,,DO_RIO6_SPARE_05,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_06,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_07,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_08,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_09,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_10,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_11,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_12,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_13,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_14,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DO_RIO6_SPARE_15,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DPIT301_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,DPSH301_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,FIT102_FB,"","FIT_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,FIT301_FB,"","FIT_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,FIT401_FB,"","FIT_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,FIT601_FB,"","FIT_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_AIT202,"","AIN_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_FIT301,"","FIT_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_FIT401,"","FIT_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_FIT601,"","FIT_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LIT101,"","AIN_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LIT301,"","AIN_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LIT401,"","AIN_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LS401,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LSH601,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LSH602,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LSH603,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LSL601,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LSL602,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_LSL603,"","SWITCH_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_NAHSO3_ORP_DOSING,"","DOSING_SETPOINT_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P301,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P302,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P401,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P402,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P403,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P404,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P501,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P502,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P601,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P601_MSG,"","PRECONDITION_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P602,"","PMP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_P602_MSG,"","PRECONDITION_UDT","","(Constant := false, ExternalAccess := Read/Write)"
