remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:08:27 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TAG,,P6_P602_CMD_MSG,"","MESSAGE","","(ExternalAccess := Read/Write, MessageType := CIP Data Table Write, RemoteElement := ""P6_P602_AUTOINP"", RequestedLength := 1, ConnectedFlag := 1, ConnectionPath := ""P6_CONTROLLER"", CommTypeCode := 0, LocalIndex := 0, LocalElement := ""P6_P602_AUTOINP"", CacheConnections := ""TRUE"")"
TAG,,P6_P602_MSG,"","MESSAGE","","(ExternalAccess := Read/Write, MessageType := CIP Data Table Read, RemoteElement := ""HMI_P602"", RequestedLength := 1, ConnectedFlag := 1, ConnectionPath := ""P6_CONTROLLER"", CommTypeCode := 0, LocalIndex := 0, LocalElement := ""HMI_P602"", CacheConnections := ""TRUE"")"
TAG,,P6_P_BW_MSG,"","MESSAGE","","(ExternalAccess := Read/Write, MessageType := CIP Data Table Read, RemoteElement := ""HMI_P602"", RequestedLength := 1, ConnectedFlag := 1, ConnectionPath := ""P6_CONTROLLER"", CommTypeCode := 0, LocalIndex := 0, LocalElement := ""HMI_P602"", CacheConnections := ""TRUE"")"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,MainProgram,_P_UF_FEED_DUTY_SR,"","DOMINANT_SET","","(Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,AIN_FBD:AOI,WRIO_Enb,"","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,Raw_RIO,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,Raw_WRIO,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,L_Raw_RIO,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,H_Raw_RIO,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,L_Raw_WRIO,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,H_Raw_WRIO,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,HEU,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,LEU,"","INT","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,Hty,"","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,Wifi_Enb,"","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read Only, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,AHH,"","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,AH,"","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read Only, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,AL,"","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read Only, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,ALL,"","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,SAHH,"","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,SAH,"","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,SAL,"","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,SALL,"","REAL","","(RADIX := Float, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,Simulation,"","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,RIO_Hty,"","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,WRIO_Hty,"","BOOL","","(RADIX := Decimal, Usage := Input, ExternalAccess := Read/Write, Required := false, Visible := true)"
TAG,AIN_FBD:AOI,Pv,"","REAL","","(RADIX := Float, Usage := InOut, Constant := false, Required := true, Visible := true)"
TAG,AIN_FBD:AOI,Sim_PV,"","REAL","","(RADIX := Float, Usage := InOut, Constant := false, Required := true, Visible := true)"
